n,Length (int),Time (s),Readable Time
30,469394,0.161520,"0 minutes, 0 seconds"
40,799614,15.407770,"0 minutes, 15 seconds"
50,1184516,75.456976,"1 minutes, 15 seconds"
60,1447784,1555.162217,"25 minutes, 55 seconds"
