n,Length (int),Time (s),Readable Time
8,112782,0.002000,"0 minutes, 0 seconds"
12,100857,0.000000,"0 minutes, 0 seconds"
16,165167,0.001001,"0 minutes, 0 seconds"
20,199728,0.003998,"0 minutes, 0 seconds"
24,288690,0.002004,"0 minutes, 0 seconds"
28,358267,0.017003,"0 minutes, 0 seconds"
32,634939,0.384625,"0 minutes, 0 seconds"
36,637214,1.001234,"0 minutes, 1 seconds"
