n&Length (int)&Time (s)&Readable Time
10&161113&0.000998&0 minutes, 0 seconds\\
15&153093&0.000000&0 minutes, 0 seconds\\
20&230908&0.005998&0 minutes, 0 seconds\\
25&365992&0.021999&0 minutes, 0 seconds\\
30&634989&0.306991&0 minutes, 0 seconds\\
35&508159&0.077006&0 minutes, 0 seconds\\
40&843939&6.343015&0 minutes, 6 seconds\\
45&951407&195.905086&3 minutes, 15 seconds\\
50&1128115&26.949559&0 minutes, 26 seconds\\
