n,Delta,Beta,Max number,Time (s),Readable Time
8,0.75,7,480,0.101751,"0 minutes, 0 seconds"
12,0.75,7,489,1.012296,"0 minutes, 1 seconds"
16,0.75,7,499,5.704739,"0 minutes, 5 seconds"
20,0.75,7,499,19.299383,"0 minutes, 19 seconds"
24,0.75,7,499,59.665626,"0 minutes, 59 seconds"
28,0.75,7,499,122.640138,"2 minutes, 2 seconds"
32,0.75,7,498,247.960556,"4 minutes, 7 seconds"
36,0.75,7,499,408.605533,"6 minutes, 48 seconds"
