n&Length (int)&Time (s)&Readable Time
10&161113&0.001000&0 minutes, 0 seconds\\
15&153093&0.000000&0 minutes, 0 seconds\\
20&230908&0.005999&0 minutes, 0 seconds\\
25&365992&0.021995&0 minutes, 0 seconds\\
30&634989&0.309997&0 minutes, 0 seconds\\
35&508159&0.079995&0 minutes, 0 seconds\\
40&843939&6.421006&0 minutes, 6 seconds\\
45&951407&220.307330&3 minutes, 40 seconds\\
50&1128115&32.300514&0 minutes, 32 seconds\\
