n,Length (int),Time (s),Readable Time
8,112782,0.001491,"0 minutes, 0 seconds"
12,100857,0.000000,"0 minutes, 0 seconds"
16,165167,0.000997,"0 minutes, 0 seconds"
20,199728,0.004989,"0 minutes, 0 seconds"
24,288690,0.001995,"0 minutes, 0 seconds"
28,358267,0.031953,"0 minutes, 0 seconds"
32,634939,0.422857,"0 minutes, 0 seconds"
36,637214,0.950498,"0 minutes, 0 seconds"
