n&Delta&Beta&Max number&Time (s)&Readable Time
4&0.8&3&500&0.006214&0.0 minutes, 0 seconds
6&0.8&3&500&0.009023&0.0 minutes, 0 seconds
8&0.8&3&500&0.098734&0.0 minutes, 0 seconds
