n&Delta&Beta&Max number&Time (s)&Readable Time
5&0.8&3&496&0.002957&0 minutes, 0 seconds
10&0.8&3&499&0.041885&0 minutes, 0 seconds
15&0.8&3&497&0.111176&0 minutes, 0 seconds
20&0.8&3&499&0.343303&0 minutes, 0 seconds
25&0.8&3&499&1.241884&0 minutes, 1 seconds
30&0.8&3&499&1.528134&0 minutes, 1 seconds
35&0.8&3&499&5.182538&0 minutes, 5 seconds
50&0.8&3&499&15.409062&0 minutes, 15 seconds
