n,Delta,Beta,Max number,Time (s),Readable Time
30,0.8,3,500,2.168240,"0.0 minutes, 2 seconds"
40,0.8,3,500,5.970656,"0.0 minutes, 5 seconds"
50,0.8,3,500,17.185258,"0.0 minutes, 17 seconds"
60,0.8,3,500,32.888983,"0.0 minutes, 32 seconds"
70,0.8,3,500,72.455161,"1.0 minutes, 12 seconds"
80,0.8,3,500,137.244904,"2.0 minutes, 17 seconds"
