n&Delta&Beta&Max number&Time (s)&Readable Time
30&0.8&3&500&2.175885&0 minutes, 2 seconds
40&0.8&3&500&7.938756&0 minutes, 7 seconds
50&0.8&3&500&15.914237&0 minutes, 15 seconds
60&0.8&3&500&32.835871&0 minutes, 32 seconds
70&0.8&3&500&78.480535&1 minutes, 18 seconds
80&0.8&3&500&83.846991&1 minutes, 23 seconds
90&0.8&3&500&210.353924&3 minutes, 30 seconds
100&0.8&3&500&345.292257&5 minutes, 45 seconds
110&0.8&3&500&445.345837&7 minutes, 25 seconds
120&0.8&3&500&661.459904&11 minutes, 1 seconds
