n,Delta,Beta,Max number,Time (s),Readable Time
30,0.8,3,500,2.194539,"0 minutes, 2 seconds"
40,0.8,3,500,6.434963,"0 minutes, 6 seconds"
50,0.8,3,500,18.362317,"0 minutes, 18 seconds"
60,0.8,3,500,36.279727,"0 minutes, 36 seconds"
70,0.8,3,500,66.807767,"1 minutes, 6 seconds"
80,0.8,3,500,119.651013,"1 minutes, 59 seconds"
