n,Delta,Beta,Max number,Time (s),Readable Time
5,0.8,3,496,0.002709,"0 minutes, 0 seconds"
10,0.8,3,499,0.039973,"0 minutes, 0 seconds"
15,0.8,3,497,0.107186,"0 minutes, 0 seconds"
20,0.8,3,499,0.328572,"0 minutes, 0 seconds"
25,0.8,3,499,0.997840,"0 minutes, 0 seconds"
30,0.8,3,499,1.369164,"0 minutes, 1 seconds"
35,0.8,3,499,4.149258,"0 minutes, 4 seconds"
50,0.8,3,499,12.903106,"0 minutes, 12 seconds"
